店舗,機種名,End_Digit,稼働日数,集計数,平均差枚数,平均回転数,勝率
キング観光サウザンド生桑,A-SLOT+ この素晴らしい世界に祝福を!,4.0,3,3,-381.6666666666667,1294.0,0.3333333333333333
キング観光サウザンド生桑,A-SLOT+ この素晴らしい世界に祝福を!,9.0,3,3,-417.3333333333333,842.6666666666666,0.0
キング観光サウザンド生桑,A-SLOT+ ディスクアップ ULTRAREMIX,0.0,40,81,95.34567901234568,3695.901234567901,0.4567901234567901
キング観光サウザンド生桑,A-SLOT+ ディスクアップ ULTRAREMIX,1.0,46,97,343.1340206185567,4428.59793814433,0.5257731958762887
キング観光サウザンド生桑,A-SLOT+ ディスクアップ ULTRAREMIX,2.0,40,82,-15.670731707317072,4056.6463414634145,0.43902439024390244
キング観光サウザンド生桑,A-SLOT+ ディスクアップ ULTRAREMIX,3.0,41,82,-4.573170731707317,3839.8048780487807,0.45121951219512196
キング観光サウザンド生桑,A-SLOT+ ディスクアップ ULTRAREMIX,4.0,40,79,191.67088607594937,3665.759493670886,0.4810126582278481
キング観光サウザンド生桑,A-SLOT+ ディスクアップ ULTRAREMIX,5.0,41,82,345.5243902439024,4179.707317073171,0.5121951219512195
キング観光サウザンド生桑,A-SLOT+ ディスクアップ ULTRAREMIX,6.0,40,79,332.11392405063293,4287.46835443038,0.5316455696202531
キング観光サウザンド生桑,A-SLOT+ ディスクアップ ULTRAREMIX,7.0,41,82,-305.4268292682927,4746.878048780488,0.4024390243902439
キング観光サウザンド生桑,A-SLOT+ ディスクアップ ULTRAREMIX,8.0,42,85,-110.41176470588235,3398.6235294117646,0.38823529411764707
キング観光サウザンド生桑,A-SLOT+ ディスクアップ ULTRAREMIX,9.0,41,84,-12.678571428571429,4211.0952380952385,0.44047619047619047
キング観光サウザンド生桑,L ToLOVEるダークネス,0.0,19,118,-192.5084745762712,2276.3050847457625,0.2796610169491525
キング観光サウザンド生桑,L ToLOVEるダークネス,1.0,24,144,-252.89583333333334,2188.25,0.3611111111111111
キング観光サウザンド生桑,L ToLOVEるダークネス,2.0,20,131,311.4351145038168,2476.351145038168,0.3969465648854962
キング観光サウザンド生桑,L ToLOVEるダークネス,3.0,19,126,146.07142857142858,1936.5396825396826,0.2698412698412698
キング観光サウザンド生桑,L ToLOVEるダークネス,4.0,19,124,315.71774193548384,2196.7096774193546,0.43548387096774194
キング観光サウザンド生桑,L ToLOVEるダークネス,5.0,20,127,-295.26771653543307,2258.0787401574803,0.2992125984251969
キング観光サウザンド生桑,L ToLOVEるダークネス,6.0,20,127,-230.33858267716536,2041.2204724409448,0.33858267716535434
キング観光サウザンド生桑,L ToLOVEるダークネス,7.0,20,127,-585.5354330708661,2989.3543307086616,0.2440944881889764
キング観光サウザンド生桑,L ToLOVEるダークネス,8.0,21,129,86.07751937984496,2034.4108527131782,0.3798449612403101
キング観光サウザンド生桑,L ToLOVEるダークネス,9.0,20,123,452.6910569105691,2724.1951219512193,0.4065040650406504
キング観光サウザンド生桑,L ToLOVEるダークネス TRANCE ver.8.7,0.0,29,113,185.38938053097345,2997.2035398230087,0.37168141592920356
キング観光サウザンド生桑,L ToLOVEるダークネス TRANCE ver.8.7,1.0,32,128,218.3125,3007.40625,0.3359375
キング観光サウザンド生桑,L ToLOVEるダークネス TRANCE ver.8.7,2.0,28,110,-530.0818181818182,2821.409090909091,0.3
