店舗,機種名,Weekday,稼働日数,集計数,平均差枚数,平均回転数,勝率
A-FLAG津,SHAKE BONUS TRIGGER,木曜日,21,21,-350.9047619047619,2187.4285714285716,0.23809523809523808
A-FLAG津,SHAKE BONUS TRIGGER,水曜日,21,21,-171.23809523809524,2343.4285714285716,0.38095238095238093
A-FLAG津,SHAKE BONUS TRIGGER,火曜日,22,22,169.22727272727272,1650.8636363636363,0.36363636363636365
A-FLAG津,SHAKE BONUS TRIGGER,金曜日,22,22,219.5909090909091,1738.0454545454545,0.5454545454545454
A-FLAG津,SLOTドルアーガの塔,土曜日,28,28,-67.53571428571429,2150.0714285714284,0.39285714285714285
A-FLAG津,SLOTドルアーガの塔,日曜日,28,28,-149.14285714285714,1886.25,0.39285714285714285
A-FLAG津,SLOTドルアーガの塔,月曜日,28,28,-124.39285714285714,1399.25,0.32142857142857145
A-FLAG津,SLOTドルアーガの塔,木曜日,27,27,-59.407407407407405,1524.5925925925926,0.2962962962962963
A-FLAG津,SLOTドルアーガの塔,水曜日,27,27,-560.3703703703703,2250.0,0.2222222222222222
A-FLAG津,SLOTドルアーガの塔,火曜日,28,28,190.85714285714286,1498.5,0.39285714285714285
A-FLAG津,SLOTドルアーガの塔,金曜日,27,27,-0.7037037037037037,1622.111111111111,0.3333333333333333
A-FLAG津,Sister Quest,土曜日,38,49,-556.0408163265306,1369.6326530612246,0.16326530612244897
A-FLAG津,Sister Quest,日曜日,37,48,-297.1666666666667,1215.4375,0.25
A-FLAG津,Sister Quest,月曜日,39,50,270.16,887.74,0.22
A-FLAG津,Sister Quest,木曜日,37,47,-46.06382978723404,822.9787234042553,0.14893617021276595
A-FLAG津,Sister Quest,水曜日,38,49,-129.51020408163265,608.1020408163265,0.10204081632653061
A-FLAG津,Sister Quest,火曜日,38,48,0.7916666666666666,947.9791666666666,0.14583333333333334
A-FLAG津,Sister Quest,金曜日,38,49,90.85714285714286,1140.734693877551,0.24489795918367346
A-FLAG津,S黄門ちゃま喝2,土曜日,18,18,-41.27777777777778,598.8333333333334,0.16666666666666666
A-FLAG津,S黄門ちゃま喝2,日曜日,19,19,-66.52631578947368,891.0526315789474,0.21052631578947367
A-FLAG津,S黄門ちゃま喝2,月曜日,19,19,162.6315789473684,310.57894736842104,0.15789473684210525
A-FLAG津,S黄門ちゃま喝2,木曜日,18,18,-144.22222222222223,338.55555555555554,0.0
A-FLAG津,S黄門ちゃま喝2,水曜日,17,17,0.8235294117647058,156.52941176470588,0.17647058823529413
A-FLAG津,S黄門ちゃま喝2,火曜日,18,18,-298.5,1033.9444444444443,0.05555555555555555
A-FLAG津,S黄門ちゃま喝2,金曜日,18,18,14.222222222222221,289.55555555555554,0.05555555555555555
A-FLAG津,いざ!番長,土曜日,41,91,60.417582417582416,1523.5494505494505,0.2857142857142857
A-FLAG津,いざ!番長,日曜日,39,87,-304.67816091954023,1927.7586206896551,0.27586206896551724
A-FLAG津,いざ!番長,月曜日,41,89,-311.12359550561797,1181.752808988764,0.12359550561797752
A-FLAG津,いざ!番長,木曜日,41,87,112.51724137931035,695.4942528735633,0.21839080459770116
A-FLAG津,いざ!番長,水曜日,40,86,-309.8139534883721,1238.5232558139535,0.16279069767441862
A-FLAG津,いざ!番長,火曜日,41,89,253.62921348314606,1051.8426966292134,0.24719101123595505
A-FLAG津,いざ!番長,金曜日,40,88,-230.6590909090909,1089.2954545454545,0.14772727272727273
A-FLAG津,わたしの幸せな結婚,土曜日,30,30,-298.26666666666665,1671.8,0.36666666666666664
A-FLAG津,わたしの幸せな結婚,日曜日,29,29,-356.0,1256.3103448275863,0.2413793103448276
A-FLAG津,わたしの幸せな結婚,月曜日,29,29,-259.3448275862069,1272.6206896551723,0.20689655172413793
A-FLAG津,わたしの幸せな結婚,木曜日,29,29,187.9655172413793,870.3793103448276,0.20689655172413793
A-FLAG津,わたしの幸せな結婚,水曜日,28,28,-363.10714285714283,1149.107142857143,0.21428571428571427
A-FLAG津,わたしの幸せな結婚,火曜日,29,29,-432.0689655172414,1102.8275862068965,0.1724137931034483
A-FLAG津,わたしの幸せな結婚,金曜日,30,30,-590.0333333333333,1103.5333333333333,0.2
A-FLAG津,アオハル♪操 A-LIVE,土曜日,13,13,-315.84615384615387,753.3076923076923,0.23076923076923078
A-FLAG津,アオハル♪操 A-LIVE,日曜日,14,14,206.0,1069.7857142857142,0.35714285714285715
A-FLAG津,アオハル♪操 A-LIVE,月曜日,13,13,313.61538461538464,396.2307692307692,0.46153846153846156
A-FLAG津,アオハル♪操 A-LIVE,木曜日,13,13,-167.46153846153845,505.9230769230769,0.23076923076923078
A-FLAG津,アオハル♪操 A-LIVE,水曜日,12,12,-73.58333333333333,550.25,0.25
A-FLAG津,アオハル♪操 A-LIVE,火曜日,13,13,-148.92307692307693,338.9230769230769,0.3076923076923077
A-FLAG津,アオハル♪操 A-LIVE,金曜日,13,13,-107.6923076923077,770.8461538461538,0.3076923076923077
A-FLAG津,アナザーゴッドハーデス-解き放たれし槍撃ver.-,土曜日,65,166,-11.662650602409638,734.9216867469879,0.24096385542168675
A-FLAG津,アナザーゴッドハーデス-解き放たれし槍撃ver.-,日曜日,64,166,-95.27710843373494,1037.7469879518073,0.26506024096385544
A-FLAG津,アナザーゴッドハーデス-解き放たれし槍撃ver.-,月曜日,65,168,-48.86904761904762,350.7797619047619,0.11904761904761904
A-FLAG津,アナザーゴッドハーデス-解き放たれし槍撃ver.-,木曜日,64,164,-18.634146341463413,416.6158536585366,0.14634146341463414
A-FLAG津,アナザーゴッドハーデス-解き放たれし槍撃ver.-,水曜日,63,160,-22.7625,309.31875,0.1125
